title,company,location
Python Developer,Cybernef Technologies,"Lahore, Punjab, Pakistan (On-site)"
Python Developer,Cybernef Technologies,"Lahore, Punjab, Pakistan (On-site)"
Software Engineering Intern,Devsinc,"Lahore, Punjab, Pakistan (On-site)"
Software Engineering Intern,Devsinc,"Lahore, Punjab, Pakistan (On-site)"
Full Stack Python & ReactJS Developer (UK B2B Tech Startup),ProInteractive,Pakistan (Remote)
Full Stack Python & ReactJS Developer (UK B2B Tech Startup),ProInteractive,Pakistan (Remote)
Team Lead Full Stack NodeJS/Nest.js Developer with LLM experience,Code Upscale,"Lahore, Punjab, Pakistan (On-site)"
Team Lead Full Stack NodeJS/Nest.js Developer with LLM experience,Code Upscale,"Lahore, Punjab, Pakistan (On-site)"
Senior Python Django Developer,12 Tech,Pakistan (Remote)
Senior Python Django Developer,12 Tech,Pakistan (Remote)
Back End Developer,Life @ Get Licensed,"Karāchi, Sindh, Pakistan (On-site)"
Back End Developer,Life @ Get Licensed,"Karāchi, Sindh, Pakistan (On-site)"
Sargodha (on-site) - PHP Laravel + ReactJS,SlashCart Private Limited,"Sargodha, Punjab, Pakistan (On-site)"
Sargodha (on-site) - PHP Laravel + ReactJS,SlashCart Private Limited,"Sargodha, Punjab, Pakistan (On-site)"
